PMID,PMCID,Keywords,Table,X,Y,Z
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,8,12,58
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,-30,22,4
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,42,10,0
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,-6,14,42
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,-62,-22,34
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,68,-24,38
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,18,-70,-22
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,32,-94,-8
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,18,-88,20
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,46,-60,28
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,-10,-56,20
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,26,28,44
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,8,42,-12
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,62,-4,-18
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,-46,-78,30
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,2,62,-4,-18
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,-36,-12,44
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,-6,10,34
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,-10,-26,16
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,-12,-54,54
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,36,12,14
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,54,-58,34
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,16,36,46
27242579,4863427,pain empathy; intrasexual competition; fMRI; AI; aMCC; MPFC,3,12,54,20
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,3,15,-15,-12
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,3,-6,-24,57
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,3,54,21,3
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,4,6,-21,-21
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,4,3,-33,-21
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,4,39,-27,-9
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,4,15,-90,3
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,4,45,-78,24
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,5,1,-3,-15
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,5,1,2,0
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,5,0,23,3
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,6,-9,-12,-9
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,6,-45,-12,9
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,6,-39,9,-24
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,7,1,-6,-12
32457675,7223160,fMRI; marriage; dopamine; romantic love; pair-bonds,7,2,3,-42
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,1,-4,22,32
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,1,-4,40,18
