id	doi	space	title	authors	year	journal
9065511		MNI	Environmental knowledge is subserved by separable dorsal/ventral neural areas.	Aguirre GK, D'Esposito M	1997	The Journal of neuroscience : the official journal of the Society for Neuroscience
9084599		MNI	Anatomy of motor learning. I. Frontal cortex and attention to action.	Jueptner M, Stephan KM, Frith CD, Brooks DJ, Frackowiak RS, Passingham RE	1997	Journal of neurophysiology
9114263		MNI	Multiple nonprimary motor areas in the human cortex.	Fink GR, Frackowiak RS, Pietrzyk U, Passingham RE	1997	Journal of neurophysiology
9185551		TAL	A role for the right anterior temporal lobe in taste quality recognition.	Small DM, Jones-Gotman M, Zatorre RJ, Petrides M, Evans AC	1997	The Journal of neuroscience : the official journal of the Society for Neuroscience
9256495		TAL	Pattern of neuronal activity associated with conscious and unconscious processing of visual signals.	Sahraie A, Weiskrantz L, Barbur JL, Simmons A, Williams SC, Brammer MJ	1997	Proceedings of the National Academy of Sciences of the United States of America
9391021		MNI	Role of the supplementary motor area and the right premotor cortex in the coordination of bimanual finger movements.	Sadato N, Yonekura Y, Waki A, Yamada H, Ishii Y	1997	The Journal of neuroscience : the official journal of the Society for Neuroscience
9405692		UNKNOWN	Role of left inferior prefrontal cortex in retrieval of semantic knowledge: a reevaluation.	Thompson-Schill SL, D'Esposito M, Aguirre GK, Farah MJ	1997	Proceedings of the National Academy of Sciences of the United States of America
9412517		TAL	Masked presentations of emotional facial expressions modulate amygdala activity without explicit knowledge.	Whalen PJ, Rauch SL, Etcoff NL, McInerney SC, Lee MB, Jenike MA	1998	The Journal of neuroscience : the official journal of the Society for Neuroscience
9465007		UNKNOWN	Transition of brain activation from frontal to parietal areas in visuomotor sequence learning.	Sakai K, Hikosaka O, Miyauchi S, Takino R, Sasaki Y, Putz B	1998	The Journal of neuroscience : the official journal of the Society for Neuroscience
9491989	10.1016/S0896-6273(00)80456-0	TAL	Functional-anatomic correlates of object priming in humans revealed by rapid presentation event-related fMRI.	Buckner RL, Goodman J, Burock M, Rotte M, Koutstaal W, Schacter D, Rosen B, Dale AM	1998	Neuron
9593960	10.1016/S0926-6410(97)00020-7	UNKNOWN	Functional magnetic resonance imaging of category-specific cortical activation: evidence for semantic maps.	Spitzer M, Kischka U, Guckel F, Bellemann ME, Kammer T, Seyyedi S, Weisbrod M, Schwartz A, Brix G	1998	Brain research. Cognitive brain research
9620697	10.1016/S0896-6273(00)80474-2	TAL	Hemispheric specialization in human dorsal frontal cortex and medial temporal lobe for verbal and nonverbal memory encoding.	Kelley WM, Miezin FM, McDermott KB, Buckner RL, Raichle ME, Cohen NJ, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE	1998	Neuron
9620698	10.1016/S0896-6273(00)80475-4	MNI	Human amygdala activation during conditioned fear acquisition and extinction: a mixed-trial fMRI study.	LaBar KS, Gatenby JC, Gore JC, LeDoux JE, Phelps EA	1998	Neuron
9620699	10.1016/S0896-6273(00)80476-6	MNI	Brain systems mediating aversive conditioning: an event-related fMRI study.	Buchel C, Morris J, Dolan RJ, Friston KJ	1998	Neuron
9636217		UNKNOWN	Functional organization of spatial and nonspatial working memory processing within the human lateral frontal cortex.	Owen AM, Stern CE, Look RB, Tracey I, Rosen BR, Petrides M	1998	Proceedings of the National Academy of Sciences of the United States of America
9714705	10.1016/S0926-6410(98)00004-4	MNI	Functional MRI studies of spatial and nonspatial working memory.	D'Esposito M, Aguirre GK, Zarahn E, Ballard D, Shin RK, Lease J	1998	Brain research. Cognitive brain research
9728909	10.1016/S0896-6273(00)80537-1	UNKNOWN	Neural systems affected in developmental dyslexia revealed by functional neuroimaging.	Eden GF, Zeffiro TA	1998	Neuron
9770542	10.1073/pnas.95.21.12657	TAL	Neural systems underlying learning and representation of global motion.	Vaina LM, Belliveau JW, des Roziers EB, Zeffiro TA	1998	Proceedings of the National Academy of Sciences of the United States of America
9787003		MNI	A specific role for the thalamus in mediating the interaction of attention and arousal in humans.	Portas CM, Rees G, Howseman AM, Josephs O, Turner R, Frith CD	1998	The Journal of neuroscience : the official journal of the Society for Neuroscience
9808463	10.1016/S0896-6273(00)80593-0	TAL	A common network of functional areas for attention and eye movements.	Corbetta M, Akbudak E, Conturo TE, Snyder AZ, Ollinger JM, Drury HA, Linenweber MR, Petersen SE, Raichle ME, Van Essen DC, Shulman GL	1998	Neuron
9819271		TAL	Cortical fMRI activation produced by attentive tracking of moving targets.	Culham JC, Brandt SA, Cavanagh P, Kanwisher NG, Dale AM, Tootell RB	1998	Journal of neurophysiology
9819274		MNI	Functional MRI of galvanic vestibular stimulation.	Lobel E, Kleine JF, Bihan DL, Leroy-Willig A, Berthoz A	1998	Journal of neurophysiology
9838166	10.1016/S0926-6410(98)00031-7	MNI	Dynamic pattern of brain activation during sequencing of word strings evaluated by fMRI.	Wildgruber D, Kischka U, Ackermann H, Klose U, Grodd W	1999	Brain research. Cognitive brain research
9862924		TAL	Temporal and intensity coding of pain in human cortex.	Porro CA, Cettolo V, Francescato MP, Baraldi P	1998	Journal of neurophysiology
9886448	10.1136/jnnp.66.1.36	UNKNOWN	Neuropsychological correlates of a right unilateral lacunar thalamic infarction.	Van Der Werf YD, Weerts JG, Jolles J, Witter MP, Lindeboom J, Scheltens P	1999	Journal of neurology, neurosurgery, and psychiatry
9990082	10.1073/pnas.96.4.1669	UNKNOWN	Covariation of activity in visual and prefrontal cortex associated with subjective visual perception.	Lumer ED, Rees G	1999	Proceedings of the National Academy of Sciences of the United States of America
10022492	10.1093/cercor/9.1.20	MNI	Physiological characteristics of capacity constraints in working memory as revealed by functional MRI.	Callicott JH, Mattay VS, Bertolino A, Finn K, Coppola R, Frank JA, Goldberg TE, Weinberger DR	1999	Cerebral cortex (New York, N.Y. : 1991)
10022494	10.1093/cercor/9.1.35	MNI	Signal-, set- and movement-related activity in the human brain: an event-related  fMRI study.	Toni I, Schluter ND, Josephs O, Friston K, Passingham RE	1999	Cerebral cortex (New York, N.Y. : 1991)
10022496	10.1093/cercor/9.1.65	MNI	The functional anatomy of the normal human auditory system: responses to 0.5 and  4.0 kHz tones at varied intensities.	Lockwood AH, Salvi RJ, Coad ML, Arnold SA, Wack DS, Murphy BW, Burkard RF	1999	Cerebral cortex (New York, N.Y. : 1991)
10051677	10.1073/pnas.96.5.2532	UNKNOWN	Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.	Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P	1999	Proceedings of the National Academy of Sciences of the United States of America
10191322		TAL	Mandarin and English single word processing studied with functional magnetic resonance imaging.	Chee MW, Tan EW, Thiel T	1999	The Journal of neuroscience : the official journal of the Society for Neuroscience
10196461	10.1016/S0006-8993(99)01126-9	MNI	Mapping of secondary somatosensory cortex activation induced by vibrational stimulation: an fMRI study.	Maldjian JA, Gottschalk A, Patel RS, Pincus D, Detre JA, Alsop DC	1999	Brain research
10197540	10.1016/S0896-6273(00)80715-1	TAL	Activation of Heschl's gyrus during auditory hallucinations.	Dierks T, Linden DE, Jandl M, Formisano E, Goebel R, Lanfermann H, Singer W	1999	Neuron
10215087	10.1016/S0028-3932(98)00107-9	MNI	Ventromedial prefrontal cortex mediates guessing.	Elliott R, Rees G, Dolan RJ	1999	Neuropsychologia
10216270	10.1016/S0926-6410(98)00055-X	MNI	Frontal cortex and the programming of repetitive tapping movements in man: lesion effects and functional neuroimaging.	Lepage M, Beaudoin G, Boulet C, O'Brien I, Marcantoni W, Bourgouin P, Richer F	1999	Brain research. Cognitive brain research
10220229	10.1093/cercor/9.2.168	MNI	Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.	Fletcher P, Buchel C, Josephs O, Friston K, Dolan R	1999	Cerebral cortex (New York, N.Y. : 1991)
10227106	10.1016/S0920-9964(98)00141-8	TAL	Attenuated frontal activation in schizophrenia may be task dependent.	Curtis VA, Bullmore ET, Morris RG, Brammer MJ, Williams SC, Simmons A, Sharma T, Murray RM, McGuire PK	1999	Schizophrenia research
10234026		MNI	Recollection and familiarity in recognition memory: an event-related functional magnetic resonance imaging study.	Henson RN, Rugg MD, Shallice T, Josephs O, Dolan RJ	1999	The Journal of neuroscience : the official journal of the Society for Neuroscience
10349031	10.1016/S0006-3223(99)00056-6	TAL	An fMRI study of Stroop word-color interference: evidence for cingulate subregions subserving multiple distributed attentional systems.	Peterson BS, Skudlarski P, Gatenby JC, Zhang H, Anderson AW, Gore JC	1999	Biological psychiatry
