PMCID,table,X,Y,Z
7264388,1,-4,22,32
7264388,1,-4,40,18
7264388,1,0,26,26
7264388,1,2,50,0
7264388,3,0,64,2
7264388,3,-56,-14,-4
7264388,3,50,-2,-22
7264388,3,2,-6,6
7264388,3,2,-90,0
7264388,3,-20,16,-4
7264388,3,-16,-26,-12
7264388,3,-26,-98,-2
7264388,3,40,-10,-24
7264388,3,28,-98,-10
7264388,3,-38,-20,-12
7264388,3,-36,-74,56
7264388,3,-34,-78,54
7264388,3,6,-26,22
7264388,3,-6,-30,20
7223160,3,15,-15,-12
7223160,3,-6,-24,57
7223160,3,54,21,3
7223160,4,6,-21,-21
7223160,4,3,-33,-21
7223160,4,39,-27,-9
7223160,4,15,-90,3
7223160,4,45,-78,24
7223160,5,-3,-15,-21
7223160,5,0,0,23
7223160,5,3,0,24
7223160,6,-9,-12,-9
7223160,6,-45,-12,9
7223160,6,-39,9,-24
7223160,7,-6,-12,-12
7223160,7,-42,-18,6
4863427,2,8,12,58
4863427,2,-30,22,4
4863427,2,42,10,0
4863427,2,-6,14,42
4863427,2,-62,-22,34
4863427,2,68,-24,38
4863427,2,18,-70,-22
4863427,2,32,-94,-8
4863427,2,18,-88,20
4863427,2,46,-60,28
4863427,2,-10,-56,20
4863427,2,26,28,44
4863427,2,8,42,-12
4863427,2,62,-4,-18
4863427,2,-46,-78,30
4863427,2,62,-4,-18
4863427,3,-36,-12,44
4863427,3,-6,10,34
4863427,3,-10,-26,16
4863427,3,-12,-54,54
4863427,3,36,12,14
4863427,3,54,-58,34
4863427,3,16,36,46
4863427,3,12,54,20
